"국민관심질병_요양기관소재지별현황(단위_명, 일, 건, 천원)_2019_2023",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,심사년도,2019년,,,,,2020년,,,,,2021년,,,,,2022년,,,,,2023년,,,,
항목,요양기관소재지구분,환자수,내원일수,청구건수,요양급여비용총액,보험자부담금,환자수,내원일수,청구건수,요양급여비용총액,보험자부담금,환자수,내원일수,청구건수,요양급여비용총액,보험자부담금,환자수,내원일수,청구건수,요양급여비용총액,보험자부담금,환자수,내원일수,청구건수,요양급여비용총액,보험자부담금
"환경성질환_알레르기성 비염, 아토피성 피부염, 천식 ",계,"8,659,338","23,720,405","23,361,240","501,178,642","358,042,675","7,025,959","18,200,858","17,941,544","406,963,995","289,804,647","6,151,227","16,243,782","16,021,205","417,721,352","306,532,334","7,311,217","18,850,843","18,635,156","516,659,089","387,810,419","8,792,677","23,520,898","23,260,867","663,709,113","496,127,716"
"환경성질환_알레르기성 비염, 아토피성 피부염, 천식 ",서울,"1,683,442","4,299,349","4,279,211","94,900,259","65,182,456","1,309,317","3,179,819","3,169,093","75,316,089","51,672,928","1,128,921","2,817,623","2,806,576","82,402,681","60,068,571","1,389,127","3,380,814","3,372,113","107,854,812","81,249,056","1,718,792","4,321,518","4,305,780","143,439,917","108,080,539"
"환경성질환_알레르기성 비염, 아토피성 피부염, 천식 ",부산,"540,266","1,470,762","1,432,915","32,239,462","23,162,484","434,649","1,137,087","1,111,461","25,932,819","18,544,443","358,125","939,188","917,774","25,281,087","18,671,785","431,649","1,092,200","1,069,998","31,308,894","23,572,825","517,752","1,328,089","1,305,987","38,149,429","28,553,907"
"환경성질환_알레르기성 비염, 아토피성 피부염, 천식 ",인천,"501,120","1,366,045","1,354,631","27,571,505","19,615,692","392,537","997,845","990,506","20,920,217","14,871,002","336,497","881,266","876,046","20,992,905","15,352,235","418,399","1,058,767","1,053,786","27,003,391","20,297,115","507,076","1,335,423","1,327,279","35,858,168","26,788,627"
"환경성질환_알레르기성 비염, 아토피성 피부염, 천식 ",대구,"404,341","1,125,989","1,107,437","23,392,675","16,628,296","328,404","853,398","842,297","18,588,166","12,913,598","300,393","802,944","793,276","20,191,873","14,690,273","345,023","893,096","882,135","24,999,076","18,866,895","408,691","1,111,857","1,099,788","31,700,583","23,841,442"
"환경성질환_알레르기성 비염, 아토피성 피부염, 천식 ",광주,"248,016","673,057","649,556","15,896,058","11,134,762","209,541","538,734","523,556","13,022,810","9,089,904","183,734","489,658","473,235","14,933,710","10,979,701","208,327","523,913","510,129","18,035,640","13,618,009","252,312","659,838","643,679","23,176,768","17,531,704"
"환경성질환_알레르기성 비염, 아토피성 피부염, 천식 ",대전,"274,394","716,153","710,456","15,438,309","11,015,943","222,667","563,834","560,849","13,072,222","9,362,155","203,853","527,007","524,413","14,584,844","10,783,637","233,874","588,403","589,442","17,303,110","13,041,222","277,461","715,973","712,556","21,461,743","16,137,411"
"환경성질환_알레르기성 비염, 아토피성 피부염, 천식 ",울산,"215,429","595,387","583,616","12,557,921","9,044,653","171,553","450,826","442,128","10,172,870","7,267,701","144,699","396,398","386,593","9,790,301","7,029,238","170,503","451,017","442,761","11,335,693","8,258,970","200,042","521,218","512,308","13,784,560","9,905,929"
"환경성질환_알레르기성 비염, 아토피성 피부염, 천식 ",경기,"2,382,118","6,363,455","6,311,068","125,422,628","90,097,132","1,903,904","4,768,512","4,729,151","99,453,016","71,400,156","1,725,002","4,425,258","4,393,544","104,939,523","77,288,937","2,095,725","5,326,497","5,294,503","133,273,086","100,363,423","2,555,790","6,863,749","6,830,433","175,679,962","131,335,657"
